California,28.84,30.21,13.49,20.77,21.75
Alaska,22.09,21.34,20.93,16.89,18.74
South Dakota,21.47,18.85,9.36,19.76,16.34
Alabama,32.03,27.40,7.67,18.27,15.97
Maryland,26.92,21.57,12.61,20.81,21.55
Illinois,16.75,15.83,10.34,18.77,15.89
Wisconsin,19.16,17.81,10.70,20.07,16.76
Florida,33.62,23.76,10.05,18.36,20.44
West Virginia,23.29,17.70,12.08,20.58,17.60
New Hampshire,27.05,24.86,16.61,20.03,22.28
Georgia,27.87,23.61,8.53,18.48,17.92
South Carolina,33.14,24.65,9.83,18.36,18.31
North Carolina,27.07,20.02,10.69,19.82,19.00
District of Columbia,22.33,24.61,13.16,21.19,22.87
Louisiana,24.98,21.32,7.29,15.10,10.28
Tennessee,24.63,23.37,9.33,18.24,17.49
Mississippi,27.33,23.03,8.72,16.70,16.08
Vermont,24.51,21.25,17.28,20.75,21.45
Virginia,25.67,18.14,8.83,18.74,17.82
Oklahoma,22.39,17.84,8.12,17.97,15.37
Minnesota,18.79,16.69,10.23,19.54,16.32
Montana,18.04,16.23,10.38,20.59,17.20
Arizona,31.38,24.62,14.92,20.76,22.34
Rhode Island,25.25,26.64,15.14,20.16,22.17
New York,22.25,21.86,11.63,18.77,19.78
Colorado,17.20,18.84,12.71,18.73,17.21
Indiana,20.94,18.55,9.53,18.65,15.10
New Jersey,19.69,20.73,17.17,18.22,18.96
New Mexico,20.64,19.00,15.85,19.15,18.86
United States,23.77,20.86,9.91,18.91,17.30
Utah,16.25,15.91,11.53,19.76,16.89
Washington,19.98,18.35,9.69,19.66,17.68
Pennsylvania,23.18,17.08,11.25,20.28,17.85
Texas,27.39,19.53,9.18,16.82,14.04
Iowa,19.49,15.28,8.53,19.26,13.68
Ohio,19.82,17.10,10.94,19.23,16.67
North Dakota,19.55,17.81,7.99,20.08,13.36
Michigan,17.87,17.38,10.54,19.01,16.56
Arkansas,24.42,15.84,9.60,18.58,15.76
Massachusetts,25.80,25.06,17.81,19.43,22.13
Kentucky,24.14,21.36,9.59,18.44,16.73
Wyoming,18.88,16.34,9.89,19.45,14.51
Connecticut,28.89,24.42,15.77,20.73,23.24
Oregon,21.32,19.01,10.18,21.61,18.40
Missouri,23.62,20.11,12.33,18.61,18.77
Idaho,18.14,15.15,10.54,20.76,16.66
Nevada,22.14,15.41,13.91,20.34,18.54
Kansas,22.69,21.79,9.90,19.02,17.30
Hawaii,81.59,45.15,45.95,18.91,27.81
Delaware,27.71,19.28,12.98,20.86,20.19
Maine,23.58,19.84,8.65,20.33,18.15
Nebraska,19.39,16.07,9.80,19.49,15.46
